id,event,start_year,start_month,start_day,end_year,end_month,end_day,category,event_alternates,wikipedia
iss-first-crew,ISS First Crew,2000,11,2,,,,Human Spaceflight,Expedition 1|First ISS Crew|ISS Permanent Occupation Begins,International_Space_Station
dennis-tito-spaceflight,Dennis Tito Spaceflight,2001,4,28,,,,Private & Commercial Space,First Space Tourist|First Private Space Traveler,Dennis_Tito
columbia-disaster,Space Shuttle Columbia Disaster,2003,2,1,,,,Rockets & Launch Technology,Columbia STS-107,Space_Shuttle_Columbia_Disaster
spirit-mars-rover,Spirit Mars Rover Landing,2004,1,4,,,,Planetary Exploration,MER-A|Spirit Rover,Spirit_rover
opportunity-mars-rover,Opportunity Mars Rover Landing,2004,1,25,,,,Planetary Exploration,MER-B|Opportunity Rover,Opportunity_rover
spaceship-one,SpaceShipOne First Private Spaceflight,2004,6,21,,,,Private & Commercial Space,First Private Crewed Spaceflight|Mike Melvill,
cassini-saturn-orbit,Cassini Saturn Orbit,2004,7,1,2017,9,15,Planetary Exploration,Cassini-Huygens Saturn Orbiter,Cassini–Huygens
huygens-titan-landing,Huygens Titan Landing,2005,1,14,,,,Planetary Exploration,First Landing in Outer Solar System|Titan Surface,
new-horizons-launch,New Horizons Launch,2006,1,19,,,,Satellites & Probes,Pluto Mission Launch,
chandrayaan-1,Chandrayaan-1,2008,10,22,,,,Moon,First Indian Lunar Mission|India Moon Mission,Chandrayaan-1
kepler-space-telescope,Kepler Space Telescope Launch,2009,3,7,,,,Space Telescopes & Observatories,Kepler|Planet-Hunting Telescope,
curiosity-mars-rover,Curiosity Mars Rover Landing,2012,8,6,,,,Planetary Exploration,Mars Science Laboratory|Curiosity Rover|MSL,Curiosity_rover
voyager-1-interstellar,Voyager 1 Enters Interstellar Space,2012,8,25,,,,Satellites & Probes,First Human-Made Object in Interstellar Space,
chang-e-3,Chang'e 3 Moon Landing,2013,12,14,,,,Moon,First Chinese Moon Landing|Yutu Rover|Chinese Lunar Lander,
rosetta-comet-orbit,Rosetta Comet Orbit,2014,8,6,,,,Satellites & Probes,Rosetta 67P|First Comet Orbiter,
philae-comet-landing,Philae Comet Landing,2014,11,12,,,,Satellites & Probes,First Comet Landing|Rosetta Lander,
new-horizons-pluto,New Horizons Pluto Flyby,2015,7,14,,,,Planetary Exploration,First Pluto Flyby|Pluto Close-Up Images,New_Horizons
spacex-falcon-9-landing,SpaceX Falcon 9 First Landing,2015,12,21,,,,Private & Commercial Space,First Orbital Rocket Booster Landing|Reusable Rocket Landing,
juno-jupiter-orbit,Juno Jupiter Orbit,2016,7,4,,,,Planetary Exploration,Juno Spacecraft Jupiter,
spacex-crew-dragon-demo-2,SpaceX Crew Dragon Demo-2,2020,5,30,,,,Private & Commercial Space,First Commercial Crewed Spaceflight to ISS|Boeing Crew Demo,
james-webb-space-telescope,James Webb Space Telescope Launch,2021,12,25,,,,Space Telescopes & Observatories,JWST|Webb Telescope,
perseverance-mars-rover,Perseverance Mars Rover Landing,2021,2,18,,,,Planetary Exploration,Mars 2020 Rover|Perseverance Rover,
ingenuity-mars-helicopter,Ingenuity Mars Helicopter First Flight,2021,4,19,,,,Planetary Exploration,First Powered Flight on Another Planet|Mars Helicopter,
artemis-1,Artemis 1 Launch,2022,11,16,,,,Moon,Artemis I|Uncrewed Moon Return Mission|SLS First Launch,
chang-e-5-sample-return,Chang'e 5 Moon Sample Return,2020,12,16,,,,Moon,First Chinese Lunar Sample Return|Chang'e-5,
