id,leader,start_year,end_year,continent,leader_alternates,wikipedia
wu-qi,Wu Qi,-440,-381,Asia,Wu Zi|Wu Ch'i,Wu_Qi
belisarius,Belisarius,500,565,Europe,Flavius Belisarius,Belisarius
charles-martel,Charles Martel,688,741,Europe,Charles the Hammer|Carolus Martellus,Charles_Martel
charlemagne,Charlemagne,742,814,Europe,Charles the Great|Karl der Große|Carolus Magnus,Charlemagne
richard-i,Richard I,1157,1199,Europe,Richard the Lionheart|Richard Coeur de Lion,Richard_I
joan-of-arc,Joan of Arc,1412,1431,Europe,Jeanne d'Arc|The Maid of Orleans,Joan_of_Arc
gustavus-adolphus,Gustavus Adolphus,1594,1632,Europe,Gustav II Adolf|Lion of the North|Gustavus,Gustavus_Adolphus
john-churchill,John Churchill,1650,1722,Europe,Duke of Marlborough|1st Duke of Marlborough|Churchill|Marlborough,John_Churchill
eugene-of-savoy,Eugene of Savoy,1663,1736,Europe,Prince Eugene|François-Eugène de Savoie|Eugene,Eugene_of_Savoy
napoleon-bonaparte,Napoleon Bonaparte,1769,1821,Europe,Napoleon I|Napoleon,Napoleon_Bonaparte
arthur-wellesley,Arthur Wellesley,1769,1852,Europe,Duke of Wellington|Wellington|Iron Duke,"Arthur_Wellesley,_1st_Duke_of_Wellington"
horatio-nelson,Horatio Nelson,1758,1805,Europe,Admiral Nelson|Viscount Nelson|Nelson,Horatio_Nelson
mikhail-kutuzov,Mikhail Kutuzov,1745,1813,Europe,Mikhail Golenishchev-Kutuzov|Field Marshal Kutuzov|Kutuzov,Mikhail_Kutuzov
gebhard-blucher,Gebhard von Blücher,1742,1819,Europe,Marshal Forward|Blücher,Gebhard_von_Blücher
helmuth-von-moltke,Helmuth von Moltke the Elder,1800,1891,Europe,Moltke|Der grosse Schweiger,Helmuth_von_Moltke_the_Elder
erwin-rommel,Erwin Rommel,1891,1944,Europe,The Desert Fox|Rommel|Desert Fox,Erwin_Rommel
georgy-zhukov,Georgy Zhukov,1896,1974,Europe,Marshal Zhukov|Georgi Zhukov|Zhukov,Georgy_Zhukov
bernard-montgomery,Bernard Montgomery,1887,1976,Europe,Monty|Viscount Montgomery|1st Viscount Montgomery of Alamein|Montgomery,Bernard_Montgomery
erich-von-manstein,Erich von Manstein,1887,1973,Europe,Fritz Erich von Manstein|Field Marshal Manstein|Manstein,Erich_von_Manstein
chandragupta-maurya,Chandragupta Maurya,-340,-297,Asia,Sandrokottos|Androcottus,Chandragupta_Maurya
mehmed-ii,Mehmed II,1432,1481,Middle East,Mehmed the Conqueror|Fatih Sultan Mehmed|Muhammad II,Mehmed_II
suleiman-the-magnificent,Suleiman the Magnificent,1494,1566,Middle East,Suleiman I|Kanuni Sultan Süleyman|The Lawgiver,Suleiman_the_Magnificent
ibrahim-pasha,Ibrahim Pasha,1789,1848,Middle East,Ibrahim Pasha of Egypt|Kavalalı İbrahim Paşa,Ibrahim_Pasha_of_Egypt
nader-shah,Nader Shah,1698,1747,Middle East,Nader Qoli Beg|Napoleon of Persia,Nader_Shah
shaka-zulu,Shaka Zulu,1787,1828,Africa,Shaka kaSenzangakhona|Shaka,Shaka_Zulu
yaa-asantewaa,Yaa Asantewaa,1840,1921,Africa,Yaa Asantewaa|Queen Mother of Ejisu,Yaa_Asantewaa
menelik-ii,Menelik II,1844,1913,Africa,Sahle Maryam|Emperor of Ethiopia,Menelik_II
toussaint-louverture,Toussaint Louverture,1743,1803,North America,François-Dominique Toussaint|Toussaint Bréda|The Black Napoleon|Toussaint|Louverture,Toussaint_Louverture
tippu-tip,Tippu Tip,1832,1905,Africa,Hamad ibn Muhammad ibn Juma ibn Rajab el Murjebi|Hamed bin Muhammed,Tippu_Tip
samori-ture,Samori Touré,1830,1900,Africa,Samori Ture|Almami Samori|Napoleon of the Sudan,Samori_Touré
abdallahi-ibn-muhammad,Abdallahi ibn Muhammad,1846,1899,Africa,The Khalifa|Khalifa Abdallahi,Abdallahi_ibn_Muhammad
dedan-kimathi,Dedan Kimathi,1920,1957,Africa,Field Marshal Kimathi|Dedan Kimathi Waciuri,Dedan_Kimathi
george-washington,George Washington,1732,1799,North America,Commander-in-Chief Washington|Father of His Country|Washington,George_Washington
ulysses-grant,Ulysses S. Grant,1822,1885,North America,Hiram Ulysses Grant|Unconditional Surrender Grant|Sam Grant|Grant,Ulysses_S._Grant
william-sherman,William Tecumseh Sherman,1820,1891,North America,Uncle Billy|Cump Sherman|Sherman,William_Tecumseh_Sherman
stonewall-jackson,Stonewall Jackson,1824,1863,North America,Thomas Jonathan Jackson|Old Blue Light|Jackson,Stonewall_Jackson
robert-e-lee,Robert E. Lee,1807,1870,North America,Marse Robert|The Gray Fox|Lee,Robert_E._Lee
george-patton,George Patton,1885,1945,North America,Old Blood and Guts|Georgie Patton|Patton,George_Patton
douglas-macarthur,Douglas MacArthur,1880,1964,North America,Old Soldier|Supreme Commander MacArthur|MacArthur,Douglas_MacArthur
chester-nimitz,Chester Nimitz,1885,1966,North America,Fleet Admiral Nimitz|CINCPAC|Nimitz,Chester_Nimitz
simon-bolivar,Simón Bolívar,1783,1830,South America,El Libertador|Liberator of America|Bolivar,Simón_Bolívar
jose-de-san-martin,José de San Martín,1778,1850,South America,El Libertador|Protector of Peru|San Martin,José_de_San_Martín
francisco-de-miranda,Francisco de Miranda,1750,1816,South America,El Precursor|The Precursor|Miranda,Francisco_de_Miranda
antonio-jose-de-sucre,Antonio José de Sucre,1795,1830,South America,Gran Mariscal de Ayacucho|The Grand Marshal|Sucre,Antonio_José_de_Sucre
emiliano-zapata,Emiliano Zapata,1879,1919,North America,Caudillo del Sur|The Attila of the South|Zapata,Emiliano_Zapata
pancho-villa,Pancho Villa,1878,1923,North America,Francisco Villa|El Centauro del Norte|The Centaur of the North|Villa,Pancho_Villa
miguel-hidalgo,Miguel Hidalgo,1753,1811,North America,Father of Mexican Independence|El Cura Hidalgo|Hidalgo,Miguel_Hidalgo
che-guevara,Che Guevara,1928,1967,South America,Ernesto Guevara|El Che|Guevara,Che_Guevara
pedro-de-valdivia,Pedro de Valdivia,1497,1553,South America,Conquistador Valdivia|Valdivia,Pedro_de_Valdivia
