id,species,start_year,end_year,group,species_alternates,wikipedia
first-turtles,First Turtles,-220000000,,Reptiles,Testudines|Odontochelys|Proganochelys,Turtle
first-lizards,First Lizards,-220000000,,Reptiles,Squamata|Megachirella,Lizard
first-crocodilians,First Crocodilians,-230000000,,Reptiles,Crocodilia|Archosauria|Protosuchus,Crocodilia
first-snakes,First Snakes,-167000000,,Reptiles,Serpentes|Eophis underwoodi,Snake
triassic-extinction,Triassic-Jurassic Extinction,-201400000,-201400000,Reptiles,End-Triassic Extinction|CAMP Volcanism,Triassic–Jurassic_extinction_event
first-dinosaurs,First Dinosaurs,-230000000,,Dinosaurs,Dinosauria|Eoraptor|Nyasasaurus,Dinosaur
sauropods,Sauropod Dinosaurs,-201000000,-66000000,Dinosaurs,Sauropoda|Brachiosaurus|Diplodocus|Apatosaurus,Sauropoda
theropods,Theropod Dinosaurs,-230000000,-66000000,Dinosaurs,Theropoda|Allosaurus|Tyrannosaurus rex|Velociraptor,Theropoda
ornithischians,Ornithischian Dinosaurs,-230000000,-66000000,Dinosaurs,Ornithischia|Triceratops|Stegosaurus|Iguanodon,Ornithischia
pterosaurs,Pterosaurs,-228000000,-66000000,Dinosaurs,Pterosauria|Flying Reptiles|Pterodactylus|Quetzalcoatlus,Pterosaurs
plesiosaurs,Plesiosaurs,-201000000,-66000000,Dinosaurs,Plesiosauria|Marine Reptiles|Plesiosaurus|Mosasaurus,Plesiosaurs
ichthyosaurs,Ichthyosaurs,-250000000,-90000000,Dinosaurs,Ichthyosauria|Sea Dragons|Ophthalmosaurus,Ichthyosaurs
first-birds,First Birds,-150000000,,Birds,Avialae|Archaeopteryx,Bird
early-birds,Early True Birds,-130000000,,Birds,Enantiornithes|Confuciusornis,Archaeopteryx
modern-birds,Modern Birds (Neornithes),-80000000,,Birds,Neornithes|Neoaves,Neornithes
kpg-extinction,K-Pg Mass Extinction,-66000000,-66000000,Dinosaurs,Cretaceous-Paleogene Extinction|Chicxulub Impact|Asteroid Impact,Cretaceous–Paleogene_extinction_event
first-mammals,First Mammals,-225000000,,Early Mammals,Mammalia|Adelobasileus|Morganucodon,Mammal
first-monotremes,First Monotremes,-185000000,,Early Mammals,Monotremata|Platypus Ancestors|Teinolophos,Monotreme
first-marsupials,First Marsupials,-125000000,,Early Mammals,Marsupialia|Sinodelphys,Marsupial
first-placentals,First Placental Mammals,-100000000,,Early Mammals,Eutheria|Placentalia|Eomaia,Eutheria
multituberculates,Multituberculates,-170000000,-34000000,Early Mammals,Multituberculata|Taeniolabis,Multituberculates
first-primates,First Primates,-55000000,,Primates & Humans,Primates|Plesiadapis|Euprimates|Altiatlasius,Primate
first-prosimians,First Prosimians,-55000000,,Primates & Humans,Prosimii|Lemurs|Tarsiers|Adapiformes,Prosimian
first-old-world-monkeys,First Old World Monkeys,-25000000,,Primates & Humans,Cercopithecidae|Victoriapithecus,Cercopithecidae
first-new-world-monkeys,First New World Monkeys,-35000000,,Primates & Humans,Platyrrhini|Capuchins|Marmosets,Platyrrhini
first-apes,First Apes,-25000000,,Primates & Humans,Hominoidea|Proconsul,Ape
first-great-apes,First Great Apes,-15000000,,Primates & Humans,Hominidae|Dryopithecus|Sivapithecus,Hominoidea
gibbon-divergence,Gibbons (Hylobatidae),-18000000,,Primates & Humans,Hylobatidae|Lesser Apes,Hylobates
orangutan-divergence,Orangutans,-12000000,,Primates & Humans,Pongo|Asian Great Apes,Orangutans
gorilla-divergence,Gorillas,-8000000,,Primates & Humans,Gorilla|African Great Apes,Gorillas
chimp-divergence,Chimpanzees,-6000000,,Primates & Humans,Pan troglodytes|Common Chimpanzee,Chimpanzees
sahelanthropus,Sahelanthropus tchadensis,-7000000,-6000000,Primates & Humans,Toumai|Earliest Hominin,Sahelanthropus_tchadensis
ardipithecus,Ardipithecus,-5800000,-4400000,Primates & Humans,Ardipithecus ramidus|Ardi,Ardipithecus
australopithecus,Australopithecus,-4000000,-2000000,Primates & Humans,Australopithecus afarensis|Lucy|Southern Ape,Australopithecus
paranthropus,Paranthropus,-2700000,-1200000,Primates & Humans,Robust Australopithecines|Paranthropus boisei|Nutcracker Man,Paranthropus
homo-habilis,Homo habilis,-2500000,-1400000,Primates & Humans,Handy Man|Early Homo,Homo_habilis
homo-erectus,Homo erectus,-1900000,-110000,Primates & Humans,Upright Man|Pithecanthropus|Java Man|Peking Man,Homo_erectus
homo-heidelbergensis,Homo heidelbergensis,-700000,-200000,Primates & Humans,Heidelberg Man|Archaic Homo sapiens,Homo_heidelbergensis
homo-neanderthalensis,Homo neanderthalensis,-400000,-40000,Primates & Humans,Neanderthals|Neanderthal Man,Homo_neanderthalensis
homo-denisova,Denisovans,-300000,-50000,Primates & Humans,Denisova hominins|Denisova Cave People,Denisovans
homo-sapiens,Homo sapiens,-300000,,Primates & Humans,Modern Humans|Anatomically Modern Humans,Homo_sapiens
homo-floresiensis,Homo floresiensis,-100000,-50000,Primates & Humans,Hobbit|Flores Man,Homo_floresiensis
out-of-africa,Humans Out of Africa,-70000,,Primates & Humans,Out of Africa II|Behavioural Modernity,Recent_African_origin
first-whales,First Whales,-50000000,,Other Mammals,Cetacea|Pakicetus,Whale
first-horses,First Horses,-55000000,,Other Mammals,Equidae|Eohippus|Hyracotherium,Horse
first-elephants,First Elephants,-55000000,,Other Mammals,Proboscidea|Eritherium|Numidotherium,Elephant
first-bats,First Bats,-52000000,,Other Mammals,Chiroptera|Onychonycteris|Icaronycteris,Bat
first-rodents,First Rodents,-56000000,,Other Mammals,Rodentia|Paramys,Rodent
first-carnivores,First Carnivores,-42000000,,Other Mammals,Carnivora|Miacidae|Miacis,Carnivora
first-ungulates,First Ungulates,-55000000,,Other Mammals,Artiodactyla|Perissodactyla|Condylarthra,Ungulate
first-cats,First Cats,-25000000,,Other Mammals,Felidae|Proailurus|Pseudaelurus,Felidae
sabre-tooth-cats,Sabre-toothed Cats,-35000000,-10000,Other Mammals,Machairodontinae|Smilodon|Thylacosmilus,Saber-toothed_cat
first-dogs,First Dogs (Canidae),-40000000,,Other Mammals,Canidae|Hesperocyon,Canidae
first-bears,First Bears,-20000000,,Other Mammals,Ursidae|Ursavus,Bear
woolly-mammoth,Woolly Mammoth,-400000,-4000,Other Mammals,Mammuthus primigenius|Pleistocene Elephant,Woolly_Mammoth
woolly-rhinoceros,Woolly Rhinoceros,-350000,-10000,Other Mammals,Coelodonta antiquitatis|Ice Age Rhino,Woolly_Rhinoceros
giant-ground-sloth,Giant Ground Sloth,-5000000,-10000,Other Mammals,Megatherium|Eremotherium|Megalonyx,Giant_Ground_Sloth
domesticated-dogs,Domesticated Dogs,-15000,,Other Mammals,Canis lupus familiaris|Domestic Dog,Dog
domesticated-horses,Domesticated Horses,-5500,,Other Mammals,Equus caballus|Domestic Horse,Horse
quaternary-extinction,Quaternary Megafauna Extinction,-50000,-10000,Other Mammals,Pleistocene Extinction|Ice Age Extinctions,Megafauna
