id,discovery,start_year,end_year,field,discovery_alternates,wikipedia
penicillin-discovery,Discovery of Penicillin,1928,,Biology & Medicine,Fleming's Penicillin|Penicillium notatum|Antibiotic Discovery,Penicillin
hubble-expanding-universe,Hubble's Expanding Universe,1929,,Physics & Astronomy,Hubble's Law|Galactic Recession|Hubble-Lemaître Law,Edwin_Hubble
turing-machine,Turing Machine and Computability,1936,,Mathematics,Turing's Computability Theory|On Computable Numbers|Theoretical Computer Science,Turing_machine
nuclear-fission,Nuclear Fission,1938,,Physics & Astronomy,Hahn-Strassmann Fission|Splitting the Atom|Atomic Fission,Nuclear_Fission
dna-as-genetic-material,DNA as Genetic Material,1944,,Biology & Medicine,Avery-MacLeod-McCarty Experiment|Transforming Principle|DNA Hereditary Role,DNA
plate-tectonics,Plate Tectonics Theory,1960,,Earth & Climate,Sea-Floor Spreading|Tectonic Plate Theory|Vine-Matthews-Morley Hypothesis,Plate_tectonics
dna-double-helix,DNA Double Helix Structure,1953,,Biology & Medicine,Watson-Crick Model|DNA Structure|Double Helix,DNA
standard-model,Standard Model of Particle Physics,1973,,Physics & Astronomy,Standard Model|Quantum Field Theory|Quark Model,Standard_Model_of_Particle_Physics
hiv-discovery,Discovery of HIV,1983,,Biology & Medicine,Human Immunodeficiency Virus|AIDS Virus Discovery|Montagnier-Gallo HIV,HIV
world-wide-web,World Wide Web,1991,,Mathematics,Tim Berners-Lee Web|HTTP and HTML|Internet Web System,World_Wide_Web
higgs-boson,Discovery of the Higgs Boson,2012,,Physics & Astronomy,God Particle|Higgs Field Confirmation|LHC Higgs Discovery,Higgs_boson
crispr-cas9,CRISPR-Cas9 Gene Editing,2012,,Biology & Medicine,CRISPR Gene Editing|Cas9 Genome Editing|Doudna-Charpentier CRISPR,CRISPR
gravitational-waves,Detection of Gravitational Waves,2016,,Physics & Astronomy,LIGO Gravitational Waves|Einstein Wave Detection|Binary Black Hole Merger Waves,Gravitational_wave
first-black-hole-image,First Image of a Black Hole,2019,,Physics & Astronomy,Event Horizon Telescope Image|M87 Black Hole|Black Hole Shadow,Black_hole
mrna-vaccine-technology,mRNA Vaccine Technology,2020,,Biology & Medicine,Karikó-Weissman mRNA Vaccines|COVID-19 mRNA Vaccine|Messenger RNA Immunisation,
